u,u_name,v,v_name,edge_type
0,"P_(0,0)",1,"P_(0,1)",P
0,"P_(0,0)",4,"P_(0,4)",P
0,"P_(0,0)",25,"Q_(0,0)",cross
0,"P_(0,0)",30,"Q_(1,0)",cross
0,"P_(0,0)",35,"Q_(2,0)",cross
0,"P_(0,0)",40,"Q_(3,0)",cross
0,"P_(0,0)",45,"Q_(4,0)",cross
1,"P_(0,1)",2,"P_(0,2)",P
1,"P_(0,1)",26,"Q_(0,1)",cross
1,"P_(0,1)",31,"Q_(1,1)",cross
1,"P_(0,1)",36,"Q_(2,1)",cross
1,"P_(0,1)",41,"Q_(3,1)",cross
1,"P_(0,1)",46,"Q_(4,1)",cross
2,"P_(0,2)",3,"P_(0,3)",P
2,"P_(0,2)",27,"Q_(0,2)",cross
2,"P_(0,2)",32,"Q_(1,2)",cross
2,"P_(0,2)",37,"Q_(2,2)",cross
2,"P_(0,2)",42,"Q_(3,2)",cross
2,"P_(0,2)",47,"Q_(4,2)",cross
3,"P_(0,3)",4,"P_(0,4)",P
3,"P_(0,3)",28,"Q_(0,3)",cross
3,"P_(0,3)",33,"Q_(1,3)",cross
3,"P_(0,3)",38,"Q_(2,3)",cross
3,"P_(0,3)",43,"Q_(3,3)",cross
3,"P_(0,3)",48,"Q_(4,3)",cross
4,"P_(0,4)",29,"Q_(0,4)",cross
4,"P_(0,4)",34,"Q_(1,4)",cross
4,"P_(0,4)",39,"Q_(2,4)",cross
4,"P_(0,4)",44,"Q_(3,4)",cross
4,"P_(0,4)",49,"Q_(4,4)",cross
5,"P_(1,0)",6,"P_(1,1)",P
5,"P_(1,0)",9,"P_(1,4)",P
5,"P_(1,0)",25,"Q_(0,0)",cross
5,"P_(1,0)",31,"Q_(1,1)",cross
5,"P_(1,0)",37,"Q_(2,2)",cross
5,"P_(1,0)",43,"Q_(3,3)",cross
5,"P_(1,0)",49,"Q_(4,4)",cross
6,"P_(1,1)",7,"P_(1,2)",P
6,"P_(1,1)",26,"Q_(0,1)",cross
6,"P_(1,1)",32,"Q_(1,2)",cross
6,"P_(1,1)",38,"Q_(2,3)",cross
6,"P_(1,1)",44,"Q_(3,4)",cross
6,"P_(1,1)",45,"Q_(4,0)",cross
7,"P_(1,2)",8,"P_(1,3)",P
7,"P_(1,2)",27,"Q_(0,2)",cross
7,"P_(1,2)",33,"Q_(1,3)",cross
7,"P_(1,2)",39,"Q_(2,4)",cross
7,"P_(1,2)",40,"Q_(3,0)",cross
7,"P_(1,2)",46,"Q_(4,1)",cross
8,"P_(1,3)",9,"P_(1,4)",P
8,"P_(1,3)",28,"Q_(0,3)",cross
8,"P_(1,3)",34,"Q_(1,4)",cross
8,"P_(1,3)",35,"Q_(2,0)",cross
8,"P_(1,3)",41,"Q_(3,1)",cross
8,"P_(1,3)",47,"Q_(4,2)",cross
9,"P_(1,4)",29,"Q_(0,4)",cross
9,"P_(1,4)",30,"Q_(1,0)",cross
9,"P_(1,4)",36,"Q_(2,1)",cross
9,"P_(1,4)",42,"Q_(3,2)",cross
9,"P_(1,4)",48,"Q_(4,3)",cross
10,"P_(2,0)",11,"P_(2,1)",P
10,"P_(2,0)",14,"P_(2,4)",P
10,"P_(2,0)",25,"Q_(0,0)",cross
10,"P_(2,0)",32,"Q_(1,2)",cross
10,"P_(2,0)",39,"Q_(2,4)",cross
10,"P_(2,0)",41,"Q_(3,1)",cross
10,"P_(2,0)",48,"Q_(4,3)",cross
11,"P_(2,1)",12,"P_(2,2)",P
11,"P_(2,1)",26,"Q_(0,1)",cross
11,"P_(2,1)",33,"Q_(1,3)",cross
11,"P_(2,1)",35,"Q_(2,0)",cross
11,"P_(2,1)",42,"Q_(3,2)",cross
11,"P_(2,1)",49,"Q_(4,4)",cross
12,"P_(2,2)",13,"P_(2,3)",P
12,"P_(2,2)",27,"Q_(0,2)",cross
12,"P_(2,2)",34,"Q_(1,4)",cross
12,"P_(2,2)",36,"Q_(2,1)",cross
12,"P_(2,2)",43,"Q_(3,3)",cross
12,"P_(2,2)",45,"Q_(4,0)",cross
13,"P_(2,3)",14,"P_(2,4)",P
13,"P_(2,3)",28,"Q_(0,3)",cross
13,"P_(2,3)",30,"Q_(1,0)",cross
13,"P_(2,3)",37,"Q_(2,2)",cross
13,"P_(2,3)",44,"Q_(3,4)",cross
13,"P_(2,3)",46,"Q_(4,1)",cross
14,"P_(2,4)",29,"Q_(0,4)",cross
14,"P_(2,4)",31,"Q_(1,1)",cross
14,"P_(2,4)",38,"Q_(2,3)",cross
14,"P_(2,4)",40,"Q_(3,0)",cross
14,"P_(2,4)",47,"Q_(4,2)",cross
15,"P_(3,0)",16,"P_(3,1)",P
15,"P_(3,0)",19,"P_(3,4)",P
15,"P_(3,0)",25,"Q_(0,0)",cross
15,"P_(3,0)",33,"Q_(1,3)",cross
15,"P_(3,0)",36,"Q_(2,1)",cross
15,"P_(3,0)",44,"Q_(3,4)",cross
15,"P_(3,0)",47,"Q_(4,2)",cross
16,"P_(3,1)",17,"P_(3,2)",P
16,"P_(3,1)",26,"Q_(0,1)",cross
16,"P_(3,1)",34,"Q_(1,4)",cross
16,"P_(3,1)",37,"Q_(2,2)",cross
16,"P_(3,1)",40,"Q_(3,0)",cross
16,"P_(3,1)",48,"Q_(4,3)",cross
17,"P_(3,2)",18,"P_(3,3)",P
17,"P_(3,2)",27,"Q_(0,2)",cross
17,"P_(3,2)",30,"Q_(1,0)",cross
17,"P_(3,2)",38,"Q_(2,3)",cross
17,"P_(3,2)",41,"Q_(3,1)",cross
17,"P_(3,2)",49,"Q_(4,4)",cross
18,"P_(3,3)",19,"P_(3,4)",P
18,"P_(3,3)",28,"Q_(0,3)",cross
18,"P_(3,3)",31,"Q_(1,1)",cross
18,"P_(3,3)",39,"Q_(2,4)",cross
18,"P_(3,3)",42,"Q_(3,2)",cross
18,"P_(3,3)",45,"Q_(4,0)",cross
19,"P_(3,4)",29,"Q_(0,4)",cross
19,"P_(3,4)",32,"Q_(1,2)",cross
19,"P_(3,4)",35,"Q_(2,0)",cross
19,"P_(3,4)",43,"Q_(3,3)",cross
19,"P_(3,4)",46,"Q_(4,1)",cross
20,"P_(4,0)",21,"P_(4,1)",P
20,"P_(4,0)",24,"P_(4,4)",P
20,"P_(4,0)",25,"Q_(0,0)",cross
20,"P_(4,0)",34,"Q_(1,4)",cross
20,"P_(4,0)",38,"Q_(2,3)",cross
20,"P_(4,0)",42,"Q_(3,2)",cross
20,"P_(4,0)",46,"Q_(4,1)",cross
21,"P_(4,1)",22,"P_(4,2)",P
21,"P_(4,1)",26,"Q_(0,1)",cross
21,"P_(4,1)",30,"Q_(1,0)",cross
21,"P_(4,1)",39,"Q_(2,4)",cross
21,"P_(4,1)",43,"Q_(3,3)",cross
21,"P_(4,1)",47,"Q_(4,2)",cross
22,"P_(4,2)",23,"P_(4,3)",P
22,"P_(4,2)",27,"Q_(0,2)",cross
22,"P_(4,2)",31,"Q_(1,1)",cross
22,"P_(4,2)",35,"Q_(2,0)",cross
22,"P_(4,2)",44,"Q_(3,4)",cross
22,"P_(4,2)",48,"Q_(4,3)",cross
23,"P_(4,3)",24,"P_(4,4)",P
23,"P_(4,3)",28,"Q_(0,3)",cross
23,"P_(4,3)",32,"Q_(1,2)",cross
