u,v,u_coordinate,v_coordinate
0,1,"('P', 0, 2)","('P', 0, 3)"
0,35,"('P', 0, 2)","('Q', 3, 2)"
0,39,"('P', 0, 2)","('Q', 4, 2)"
0,23,"('P', 0, 2)","('Q', 0, 2)"
0,27,"('P', 0, 2)","('Q', 1, 2)"
0,31,"('P', 0, 2)","('Q', 2, 2)"
1,32,"('P', 0, 3)","('Q', 2, 3)"
1,36,"('P', 0, 3)","('Q', 3, 3)"
1,40,"('P', 0, 3)","('Q', 4, 3)"
1,24,"('P', 0, 3)","('Q', 0, 3)"
1,28,"('P', 0, 3)","('Q', 1, 3)"
2,3,"('P', 1, 0)","('P', 1, 1)"
2,36,"('P', 1, 0)","('Q', 3, 3)"
2,6,"('P', 1, 0)","('P', 1, 4)"
2,41,"('P', 1, 0)","('Q', 4, 4)"
2,26,"('P', 1, 0)","('Q', 1, 1)"
2,31,"('P', 1, 0)","('Q', 2, 2)"
3,32,"('P', 1, 1)","('Q', 2, 3)"
3,4,"('P', 1, 1)","('P', 1, 2)"
3,37,"('P', 1, 1)","('Q', 3, 4)"
3,22,"('P', 1, 1)","('Q', 0, 1)"
3,27,"('P', 1, 1)","('Q', 1, 2)"
4,33,"('P', 1, 2)","('Q', 2, 4)"
4,5,"('P', 1, 2)","('P', 1, 3)"
4,38,"('P', 1, 2)","('Q', 4, 1)"
4,23,"('P', 1, 2)","('Q', 0, 2)"
4,28,"('P', 1, 2)","('Q', 1, 3)"
5,34,"('P', 1, 3)","('Q', 3, 1)"
5,6,"('P', 1, 3)","('P', 1, 4)"
5,39,"('P', 1, 3)","('Q', 4, 2)"
5,24,"('P', 1, 3)","('Q', 0, 3)"
5,29,"('P', 1, 3)","('Q', 1, 4)"
6,35,"('P', 1, 4)","('Q', 3, 2)"
6,40,"('P', 1, 4)","('Q', 4, 3)"
6,25,"('P', 1, 4)","('Q', 0, 4)"
6,30,"('P', 1, 4)","('Q', 2, 1)"
7,33,"('P', 2, 0)","('Q', 2, 4)"
7,34,"('P', 2, 0)","('Q', 3, 1)"
7,40,"('P', 2, 0)","('Q', 4, 3)"
7,8,"('P', 2, 0)","('P', 2, 1)"
7,11,"('P', 2, 0)","('P', 2, 4)"
7,27,"('P', 2, 0)","('Q', 1, 2)"
8,35,"('P', 2, 1)","('Q', 3, 2)"
8,41,"('P', 2, 1)","('Q', 4, 4)"
8,9,"('P', 2, 1)","('P', 2, 2)"
8,22,"('P', 2, 1)","('Q', 0, 1)"
8,28,"('P', 2, 1)","('Q', 1, 3)"
9,36,"('P', 2, 2)","('Q', 3, 3)"
9,10,"('P', 2, 2)","('P', 2, 3)"
9,23,"('P', 2, 2)","('Q', 0, 2)"
9,29,"('P', 2, 2)","('Q', 1, 4)"
9,30,"('P', 2, 2)","('Q', 2, 1)"
10,37,"('P', 2, 3)","('Q', 3, 4)"
10,38,"('P', 2, 3)","('Q', 4, 1)"
10,11,"('P', 2, 3)","('P', 2, 4)"
10,24,"('P', 2, 3)","('Q', 0, 3)"
10,31,"('P', 2, 3)","('Q', 2, 2)"
11,32,"('P', 2, 4)","('Q', 2, 3)"
11,39,"('P', 2, 4)","('Q', 4, 2)"
11,25,"('P', 2, 4)","('Q', 0, 4)"
11,26,"('P', 2, 4)","('Q', 1, 1)"
12,37,"('P', 3, 0)","('Q', 3, 4)"
12,39,"('P', 3, 0)","('Q', 4, 2)"
12,13,"('P', 3, 0)","('P', 3, 1)"
